name;ABI;LondonActionPlan;PaCSON;M3AAWG;ISP_organizations
Australia;5;1;0.5;0;1
Germany;5;0;0;0.034482759;1
Ireland;5;1;0;0;1
Japan;5;1;0;0.034482759;1
Korea (Republic of);5;1;0;0;1
Finland;5;1;0;0;1
Belgium;2;1;0;0;0
Spain;2;1;0;0;0
Croatia;2;0;0;0;0
Romania;2;0;0;0;0
Italy;2;0;0;0;0
France;2;0;0;0.068965517;0
Portugal;2;1;0;0;0
United States of America;5;1;0;0.689655172;3
Netherlands;5;1;0;0;1
Brazil;0;1;0;0;0
Canada;0;1;0;0;0
Chile;0;1;0;0;0
China;0;1;0;0;0
Denmark;0;1;0;0;0
Hong Kong;0;1;0;0;0
Hungary;0;1;0;0;0
Latvia;0;1;0;0;0
Lithuania;0;1;0;0;0
Malaysia;0;1;0;0;0
Mexico;0;1;0;0;0
New Zealand;0;1;0.5;0;0
Nigeria;0;1;0;0;0
Norway;0;1;0;0;0
South Africa;0;1;0;0;0
Sweden;0;1;0;0;0
Switzerland;0;1;0;0;1
Taiwan Province of China[a];0;1;0;0;0
United Kingdom of Great Britain and Northern Ireland;0;1;0;0.137931034;0
Cook Islands;0;0;0.5;0;0
Fiji;0;0;0.5;0;0
Kiribati;0;0;0.5;0;0
Marshall Islands;0;0;0.5;0;0
Niue;0;0;0.5;0;0
Palau;0;0;0.5;0;0
Papua New Guinea;0;0;0.5;0;0
Samoa;0;0;0.5;0;0
Solomon Islands;0;0;0.5;0;0
Tokelau;0;0;0.5;0;0
Tonga;0;0;0.5;0;0
Tuvalu;0;0;0.5;0;0
Vanuatu;0;0;0.5;0;0
Israel;0;0;0;0.034482759;0
