Rank;Country;GNI per capita (US$)[1];Year
1;Switzerland;80560;2017
2;Norway;75990;2017
3;Luxembourg;70260;2017
4;Qatar;61070;2017
5;Iceland;60830;2017
6;United States;58270;2017
7;Ireland;55290;2017
8;Denmark;55220;2017
9;Singapore;54530;2017
10;Sweden;52590;2017
11;Australia;51360;2017
11;Hong Kong (China);46310;2017
12;Netherlands;46180;2017
13;Austria;45440;2017
14;Finland;44580;2017
15;Germany;43490;2017
16;Canada;42870;2017
17;Belgium;41790;2017
18;United Kingdom;40530;2017
19;United Arab Emirates;39130;2017
20;New Zealand;38970;2017
21;Japan;38550;2017
22;France;37970;2017
23;Israel;37270;2017
24;Kuwait;31430;2017
25;Italy;31020;2017
26;Brunei;29600;2017
27;Bahamas;29170;2017
56;Costa Rica;11040;2017
57;Turkey;10930;2017
58;Nauru;10220;2017
59;Mauritius;10140;2017
60;Romania;9970;2017
61;Malaysia;9650;2017
61;Grenada;9650;2017
63;Maldives;9570;2017
64;Russia;9230;2017
65;Saint Lucia;8780;2017
66;China;8690;2017
67;Mexico;8610;2017
68;Brazil;8580;2017
28;Korea (Republic of);28380;2017
29;Spain;27180;2017
30;Malta;23810;2017
31;Cyprus;23720;2017
32;Slovenia;22000;2017
33;Bahrain;20240;2017
34;Saudi Arabia;20080;2017
35;Portugal;19820;2017
36;Estonia;18190;2017
37;Czech Republic;18160;2017
38;Greece;18090;2017
39;Slovakia;16610;2017
40;Saint Kitts and Nevis;16030;2017
41;Barbados;15540;2017
42;Trinidad and Tobago;15350;2017
43;Uruguay;15250;2017
44;Lithuania;15200;2017
45;Latvia;14740;2017
46;Oman;14440;2017
47;Seychelles;14180;2017
48;Antigua and Barbuda;14170;2017
49;Chile;13610;2017
50;Panama;13100;2017
51;Argentina;13040;2017
52;Hungary;12870;2017
53;Poland;12710;2017
54;Palau;12530;2017
55;Croatia;12430;2017
82;Peru;5970;2017
83;Thailand;5960;2017
84;Ecuador;5890;2017
85;Colombia;5830;2017
86;South Africa;5430;2017
87;Iran;5400;2017
88;Belarus;5280;2017
89;Serbia;5180;2017
90;Tuvalu;4970;2017
90;Fiji;4970;2017
92;Bosnia and Herzegovina;4940;2017
93;Macedonia;4880;2017
94;Marshall Islands;4800;2017
95;Iraq;4770;2017
162; Nepal;790;2017
163;Mali;770;2017
164;Comoros;760;2017
164;Haiti;760;2017
166;Ethiopia;740;2017
167;Rwanda;720;2017
168;Guinea-Bissau;660;2017
169;Chad;630;2017
170;Afghanistan;570;2017
171;Albania;4320;2017
172;Armenia;4000;2017
173;Angola;3330;2017
174;Azerbaijan;4080;2017
175;Bangladesh;1470;2017
176;Burkina Faso;610;2017
177;Bulgaria;7760;2017
178;Burundi;290;2017
179;Benin;800;2017
180;Bermuda;2170;2017
181;Brunei Darussalam;29600;2017
182;Bolivia (Plurinational State of);3130;2017
183;Bhutan;2720;2017
184;Botswana;6820;2017
185;Belize;4390;2017
186;Congo;1360;2017
187;Cote dIvoire;1540;2017
188;Cameroon;1360;2017
189;Czechia;18160;2017
190;Djibouti;1880;2017
191;Dominica;6990;2017
192;Dominican Republic;6330;2017
193;Algeria;3960;2017
194;Egypt;3010;2017
195;Gabon;6610;2017
196;United Kingdom of Great Britain and Northern Ireland;40530;2017
197;Georgia;3790;2017
198;French Guiana;1;2017
199;Ghana;1490;2017
200;Gibraltar;1;2017
201;Gambia;450;2017
202;Guinea;800;2017
203;Equatorial Guinea;1;2017
204;Guatemala;4060;2017
205;Guam;1;2017
206;Guyana;4460;2017
207;Hong Kong;46310;2017
208;Honduras;2250;2017
209;Indonesia;3540;2017
210;India;1820;2017
211;Iran (Islamic Republic of);5400;2017
212;Jersey;1;2017
213;Jamaica;4750;2017
214;Jordan;3980;2017
215;Kenya;1440;2017
216;Kyrgyzstan;1130;2017
217;Cambodia;1230;2017
218;Kazakhstan;7890;2017
219;Lao Peoples Democratic Republic;1;2017
220;Lebanon;8310;2017
221;Sri Lanka;3840;2017
222;Liberia;380;2017
223;Libya;6540;2017
224;Morocco;2860;2017
225;Moldova (Republic of);2180;2017
226;Montenegro;7350;2017
227;Madagascar;400;2017
228;Macedonia (the former Yugoslav Republic of);4880;2017
229;Myanmar;1190;2017
230;Mongolia;3290;2017
231;Malawi;320;2017
232;Mozambique;420;2017
233;Namibia;4600;2017
234;New Caledonia;1;2017
235;Niger;360;2017
236;Nigeria;1;2017
237;Nicaragua;2080;2017
238;Nepal;790;2017
239;Philippines;3660;2017
240;Pakistan;1580;2017
241;Puerto Rico;820;2017
242;Palestine, State of;1;2017
243;Paraguay;3920;2017
244;Reunion;1;2017
245;Russian Federation;9230;2017
246;Sudan;2380;2017
247;Sierra Leone;510;2017
248;San Marino;1;2017
249;Senegal;950;2017
250;Somalia;1;2017
251;Suriname;6020;2017
252;Sao Tome and Principe;1770;2017
253;El Salvador;3560;2017
254;Sint Maarten (Dutch part);1;2017
255;Syrian Arab Republic;1;2017
256;Eswatini;2960;2017
257;Togo;610;2017
258;Tajikistan;990;2017
259;Tunisia;3500;2017
260;Taiwan, Province of China[a];1;2017
261;Tanzania, United Republic of;910;2017
262;Ukraine;2390;2017
263;Uganda;600;2017
264;United States of America;58270;2017
265;Uzbekistan;1980;2017
266;Saint Vincent and the Grenadines;1;2017
267;Venezuela (Bolivarian Republic of);1070;2017
268;Virgin Islands (British);1;2017
269;Viet Nam;2170;2017
270;Vanuatu;2920;2017
271;Yemen;1;2017
272;Zambia;1300;2017
273;Zimbabwe;910;2017
