name;point
Albania;1
Austria;1
Belgium;1
Bulgaria;1
Canada;1
Croatia;1
Czech Republic;1
Denmark;1
Estonia;1
France;1
Germany;1
Greece;1
Hungary;1
Iceland;1
Italy;1
Latvia;1
Lithuania;1
Luxembourg;1
Montenegro;1
Netherlands;1
Norway;1
Poland;1
Portugal;1
Romania;1
Slovakia;1
Slovenia;1
Spain;1
Turkey;1
United Kingdom of Great Britain and Northern Ireland;1
United States of America;1
Austria;1
Finland;1
Georgia;1
Ireland;1
Malta;1
Montenegro;1
Russian Federation;1
Serbia;1
Sweden;1
Switzerland;1
Ukraine;1
Afghanistan;1
Australia;1
Azerbaijan;1
Bangladesh;1
China;1
India;1
Israel;1
Japan;1
Jordan;1
Malaysia;1
Mongolia;1
New Zealand;1
Pakistan;1
Qatar;1
Samoa;1
Saudi Arabia;1
Singapore;1
Korea (Republic of);1
United Arab Emirates;1
Botswana;1
Egypt;1
Gambia;1
Chana;1
Kenya;1
Mauritania;1
Mauritius;1
Morocco;1
Nigeria;1
South Africa;1
Tanzania;1
Uganda;1
Zimbabwe;1
Brazil;1
Colombia;1
Costa Rica;1
Grenada;1
Jamaica;1
Mexico;1
Panama;1
Trinidad and Tobago;1
